comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,9.08071517944336,0.0,0.02,0.152,0.7609999999999999
TRAIN,25.98956322669983,0.95,0.69,0.354,0.8590000000000001
POST,0.77144455909729,0.04,0.02,0.207,0.862
