time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem,train_loss
4.0631420612335205,0.92,0.66,0.302,0.836,-0.01242141891270876
0.20046305656433105,0.46,0.3,0.75,0.8370000000000001,-0.01700608804821968
0.1874985694885254,0.9,0.69,0.617,0.8370000000000001,-0.019501149654388428
0.19049072265625,0.95,0.71,0.602,0.8370000000000001,-0.023320091888308525
0.19148612022399902,0.93,0.68,0.555,0.8370000000000001,-0.023826725780963898
0.19647455215454102,0.95,0.75,0.636,0.8370000000000001,-0.0257126297801733
0.22938799858093262,0.97,0.65,0.632,0.8370000000000001,-0.027339134365320206
0.19547700881958008,0.94,0.75,0.654,0.8370000000000001,-0.02909833751618862
0.2014615535736084,0.96,0.71,0.64,0.8370000000000001,-0.02836521342396736
0.2014603614807129,0.91,0.71,0.6890000000000001,0.8370000000000001,-0.03005254827439785
0.18849611282348633,0.94,0.73,0.609,0.8370000000000001,-0.03062245436012745
0.19647479057312012,0.9,0.73,0.754,0.8370000000000001,-0.032488152384757996
0.19747233390808105,0.94,0.68,0.703,0.8370000000000001,-0.034396909177303314
0.19746994972229004,0.93,0.7,0.7190000000000001,0.84,-0.03621109202504158
0.19747209548950195,0.98,0.69,0.679,0.84,-0.03707277774810791
1.8201367855072021,0.81,0.6,0.304,0.8390000000000001,-0.04052045941352844
0.2403576374053955,0.84,0.61,0.6659999999999999,0.905,-0.041314054280519485
0.2288975715637207,0.93,0.66,0.812,0.905,-0.04034600779414177
0.23237991333007812,0.93,0.68,0.789,0.904,-0.04445198178291321
0.22740697860717773,0.91,0.66,0.8140000000000001,0.903,-0.04855755344033241
0.2403578758239746,0.89,0.63,0.821,0.898,-0.04788083955645561
0.23337316513061523,0.89,0.61,0.8079999999999999,0.893,-0.04982003942131996
0.23237895965576172,0.93,0.68,0.7909999999999999,0.8909999999999999,-0.04966413974761963
0.21642088890075684,0.93,0.65,0.782,0.884,-0.05215857923030853
0.2239067554473877,0.91,0.66,0.684,0.875,-0.056192684918642044
0.20247745513916016,0.98,0.64,0.741,0.872,-0.05421435460448265
0.2184154987335205,0.91,0.72,0.848,0.8690000000000001,-0.05730819329619408
0.2543189525604248,0.88,0.61,0.87,0.87,-0.05896880105137825
0.21642184257507324,0.94,0.71,0.85,0.868,-0.061994366347789764
0.22140836715698242,0.94,0.66,0.89,0.867,-0.06392677873373032
0.23937726020812988,0.86,0.6,0.8759999999999999,0.87,-0.06326097249984741
0.14562296867370605,0.97,0.55,0.723,0.868,-0.07093723863363266
0.2019658088684082,0.06,0.73,0.495,0.865,-0.0628839060664177
0.20545005798339844,0.93,0.71,0.5660000000000001,0.865,-0.07517755031585693
0.19647574424743652,0.98,0.67,0.55,0.8640000000000001,-0.06764045357704163
0.18999576568603516,0.93,0.72,0.586,0.8640000000000001,-0.07589598000049591
0.2014615535736084,0.97,0.67,0.5589999999999999,0.8640000000000001,-0.07780314236879349
0.19797897338867188,0.93,0.72,0.578,0.8640000000000001,-0.08425752818584442
0.19198036193847656,0.98,0.66,0.547,0.8640000000000001,-0.0858214870095253
0.21043610572814941,0.94,0.71,0.655,0.8640000000000001,-0.0736837387084961
0.22140765190124512,0.93,0.66,0.595,0.8640000000000001,-0.09496751427650452
0.1874995231628418,0.98,0.7,0.5670000000000001,0.863,-0.0814502164721489
0.20296335220336914,0.93,0.7,0.63,0.863,-0.08120501786470413
0.19447946548461914,0.98,0.66,0.6559999999999999,0.863,-0.08917872607707977
0.20247340202331543,0.92,0.74,0.643,0.863,-0.08929260820150375
0.19498515129089355,0.98,0.67,0.608,0.863,-0.08064534515142441
0.20545101165771484,0.94,0.75,0.654,0.863,-0.09260236471891403
0.14561009407043457,0.97,0.57,0.628,0.86,-0.08418717980384827
0.22240495681762695,0.6,0.41,0.597,0.862,-0.09929917752742767
0.2234032154083252,0.98,0.65,0.542,0.862,-0.0955372005701065
0.2014608383178711,0.93,0.74,0.6829999999999999,0.862,-0.1020747721195221
0.20345568656921387,0.91,0.62,0.63,0.861,-0.09824886173009872
0.19997143745422363,0.94,0.69,0.606,0.861,-0.10569442808628082
0.1964883804321289,0.91,0.71,0.594,0.861,-0.10566794872283936
0.18849587440490723,0.95,0.69,0.633,0.862,-0.09997815638780594
0.18550419807434082,0.92,0.72,0.6,0.862,-0.10696136206388474
0.21442604064941406,0.95,0.68,0.6409999999999999,0.86,-0.1168205514550209
0.20046353340148926,0.94,0.68,0.586,0.861,-0.1071242094039917
0.19747209548950195,0.92,0.68,0.621,0.861,-0.1097520962357521
0.1964879035949707,0.95,0.71,0.594,0.861,-0.11824099719524384
0.19148778915405273,0.91,0.68,0.594,0.861,-0.11693862080574036
0.18151569366455078,0.94,0.69,0.594,0.86,-0.12765160202980042
0.26628875732421875,0.76,0.58,0.8079999999999999,0.868,-0.12256200611591339
0.1740415096282959,0.96,0.7,0.943,0.8690000000000001,-0.14720766246318817
0.21941351890563965,0.72,0.55,0.725,0.875,-0.12457968294620514
0.21642065048217773,0.92,0.62,0.531,0.8740000000000001,-0.13947588205337524
0.20844340324401855,0.94,0.73,0.706,0.875,-0.13587898015975952
0.20147418975830078,0.92,0.68,0.6940000000000001,0.8740000000000001,-0.12243801355361938
0.19948196411132812,0.95,0.72,0.597,0.875,-0.12960155308246613
0.1934823989868164,0.91,0.67,0.55,0.8740000000000001,-0.1343509703874588
