comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,19.439424753189087,0.06,0.32,0.33299999999999996,0.7909999999999999
TRAIN,44.37560701370239,0.94,0.18,0.6729999999999999,0.8059999999999999
POST,0.45079469680786133,0.07,0.03,0.36,0.813
