comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,15.418756246566772,0.01,0.01,0.171,0.85
TRAIN,24.791686058044434,0.15,0.03,0.396,0.95
POST,8.597999811172485,0.04,0.02,0.215,0.94
