comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,16.89457368850708,0.0,0.13,0.147,0.731
TRAIN,42.11933755874634,0.79,0.58,0.636,0.8370000000000001
POST,0.836763858795166,0.03,0.01,0.20199999999999999,0.8420000000000001
THR,59.17061924934387,0.02,0.14,0.17800000000000002,0.833
