time,val_gpu_util,val_cpu_util,val_gpu_mem,val_main_mem,val_loss
0.10422873497009277,0.15,0.11,0.75,0.946,0.02950887568295002
0.10023808479309082,0.03,0.02,0.6459999999999999,0.946,0.030436212196946144
0.09773898124694824,0.05,0.02,0.7120000000000001,0.946,0.029009150341153145
0.08975982666015625,0.05,0.02,0.679,0.946,0.030243881046772003
0.17453384399414062,0.03,0.24,0.483,0.946,0.03174486383795738
0.10072994232177734,0.1,0.02,0.5539999999999999,0.946,0.0031745561864227057
0.10172820091247559,0.03,0.02,0.6559999999999999,0.946,0.0031365188769996166
0.10073089599609375,0.06,0.02,0.6409999999999999,0.946,0.0032621147111058235
0.10372257232666016,0.06,0.02,0.7659999999999999,0.946,0.0029599624685943127
0.09474658966064453,0.04,0.02,0.7140000000000001,0.946,0.003397697815671563
0.0987548828125,0.07,0.04,0.932,0.9490000000000001,0.0016624679556116462
0.10722136497497559,0.16,0.04,0.889,0.948,0.0017861934611573815
0.10870957374572754,0.16,0.04,0.905,0.948,0.0014970569172874093
0.0967411994934082,0.12,0.04,0.812,0.948,0.0016523805679753423
0.1077125072479248,0.14,0.04,0.6920000000000001,0.948,0.002017754130065441
0.09175443649291992,0.06,0.02,0.632,0.946,0.001282961922697723
0.09824776649475098,0.06,0.03,0.9059999999999999,0.946,0.0014147342881187797
0.11170077323913574,0.08,0.03,0.932,0.946,0.0011958921095356345
0.09973311424255371,0.12,0.04,0.632,0.946,0.0012614873703569174
0.09674072265625,0.08,0.02,0.625,0.946,0.0012555287685245275
0.09026694297790527,0.02,0.02,0.5,0.946,0.0009867206681519747
0.10372257232666016,0.02,0.02,0.6459999999999999,0.946,0.001128387521021068
0.09275221824645996,0.08,0.02,0.607,0.946,0.001046730438247323
0.10372209548950195,0.06,0.02,0.625,0.946,0.0009419098496437073
0.09474730491638184,0.07,0.02,0.862,0.946,0.0010354253463447094
