comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,20.63718605041504,0.2,0.26,0.385,0.782
TRAIN,51.69665479660034,0.79,0.56,0.6459999999999999,0.8859999999999999
POST,0.9091084003448486,0.08,0.04,0.41,0.882
