comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,20.79515838623047,0.05,0.1,0.446,0.9590000000000001
TRAIN,56.659440994262695,0.68,0.08,0.688,0.7659999999999999
POST,1.0811107158660889,0.08,0.04,0.42700000000000005,0.773
