time,val_gpu_util,val_cpu_util,val_gpu_mem,val_main_mem,val_loss
0.1047203540802002,0.37,0.28,0.594,0.8270000000000001,-0.030471302568912506
0.10172796249389648,0.1,0.09,0.478,0.8270000000000001,-0.030876196920871735
0.11569046974182129,0.03,0.26,0.514,0.826,-0.03628324717283249
0.0967402458190918,0.02,0.01,0.49200000000000005,0.826,-0.032427828758955
0.49866771697998047,0.94,0.63,0.442,0.826,-0.03337543457746506
0.10072922706604004,0.06,0.05,0.5539999999999999,0.8290000000000001,-0.09123008698225021
0.08876252174377441,0.0,0.01,0.405,0.83,-0.08524912595748901
0.09873604774475098,0.0,0.29,0.408,0.83,-0.07755676656961441
0.09574341773986816,0.0,0.01,0.41,0.828,-0.08192997425794601
0.08975934982299805,0.0,0.01,0.401,0.828,-0.09556159377098083
0.09973311424255371,0.41,0.28,0.607,0.8290000000000001,-0.13420724868774414
0.09773874282836914,0.09,0.08,0.382,0.8290000000000001,-0.13741770386695862
0.09075689315795898,0.0,0.01,0.406,0.8290000000000001,-0.13364912569522858
0.10372209548950195,0.0,0.01,0.408,0.8290000000000001,-0.13343662023544312
0.0967409610748291,0.06,0.04,0.46399999999999997,0.831,-0.12286961078643799
0.09973311424255371,0.29,0.19,0.679,0.831,-0.24156351387500763
0.10671472549438477,0.03,0.02,0.5770000000000001,0.831,-0.22628813982009888
0.10870718955993652,0.1,0.08,0.594,0.831,-0.21442852914333344
0.1077120304107666,0.0,0.23,0.503,0.831,-0.22649915516376495
0.09574460983276367,0.0,0.01,0.556,0.8320000000000001,-0.25102853775024414
0.08876156806945801,0.1,0.08,0.562,0.8340000000000001,-0.2572568655014038
0.08776473999023438,0.0,0.01,0.43200000000000005,0.8340000000000001,-0.25019553303718567
0.07579612731933594,0.0,0.01,0.389,0.8340000000000001,-0.25895920395851135
0.08975958824157715,0.17,0.13,0.431,0.8340000000000001,-0.25914597511291504
0.10372257232666016,0.0,0.01,0.45899999999999996,0.8340000000000001,-0.19482171535491943
