comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,16.061544179916382,0.0,0.13,0.17800000000000002,0.894
TRAIN,23.115169048309326,0.17,0.1,0.375,0.958
POST,1.4511182308197021,0.02,0.02,0.17800000000000002,0.96
