time,val_gpu_util,val_cpu_util,val_gpu_mem,val_main_mem,val_loss
0.08078384399414062,0.14,0.1,0.5489999999999999,0.968,0.03166838362812996
0.07679390907287598,0.14,0.02,0.542,0.968,0.031158460304141045
0.07579874992370605,0.04,0.02,0.479,0.968,0.03082354925572872
0.0937495231628418,0.05,0.02,0.589,0.968,0.028744526207447052
0.17553043365478516,0.39,0.18,0.423,0.968,0.035639047622680664
0.08776426315307617,0.03,0.04,0.479,0.9620000000000001,0.003140323096886277
0.07779240608215332,0.03,0.02,0.5,0.9620000000000001,0.0029216469265520573
0.09374880790710449,0.05,0.02,0.643,0.9620000000000001,0.003283209865912795
0.10272526741027832,0.05,0.02,0.578,0.9620000000000001,0.0031292177736759186
0.07679510116577148,0.05,0.02,0.5,0.9620000000000001,0.0036794058978557587
0.08776473999023438,0.03,0.02,0.521,0.9620000000000001,0.0013821652391925454
0.09574413299560547,0.03,0.02,0.5,0.9620000000000001,0.0014571577776223421
0.07978653907775879,0.03,0.02,0.531,0.9620000000000001,0.0011636897688731551
0.07380270957946777,0.03,0.02,0.583,0.9620000000000001,0.0012909241486340761
0.09474754333496094,0.05,0.02,0.607,0.9620000000000001,0.0012628885451704264
0.09873509407043457,0.06,0.05,0.583,0.965,0.0009249444701708853
0.09175443649291992,0.06,0.02,0.46399999999999997,0.965,0.0008997118566185236
0.09474635124206543,0.05,0.02,0.5,0.965,0.0008724235813133419
0.08477234840393066,0.03,0.02,0.5,0.965,0.0008866681600920856
0.06981301307678223,0.03,0.02,0.562,0.965,0.0007541376398876309
0.08776617050170898,0.03,0.02,0.45799999999999996,0.9640000000000001,0.000766582612413913
0.07280445098876953,0.03,0.02,0.521,0.9640000000000001,0.000624827400315553
0.09574389457702637,0.03,0.02,0.6920000000000001,0.9640000000000001,0.00069815554888919
0.0747995376586914,0.05,0.02,0.479,0.9640000000000001,0.0006199531489983201
0.08477377891540527,0.05,0.02,0.49,0.965,0.0010242336429655552
