time,val_gpu_util,val_cpu_util,val_gpu_mem,val_main_mem,val_loss
0.1077120304107666,0.61,0.17,0.6609999999999999,0.833,-0.01522186677902937
0.10522603988647461,0.04,0.03,0.337,0.8340000000000001,-0.051657047122716904
0.10771298408508301,0.14,0.05,0.602,0.833,-0.04921737685799599
0.1047201156616211,0.07,0.04,0.594,0.8340000000000001,-0.049374330788850784
0.16356348991394043,0.15,0.07,0.818,0.835,-0.05430188402533531
0.10671496391296387,0.08,0.05,0.555,0.835,-0.06533019989728928
0.09275197982788086,0.36,0.06,0.625,0.838,-0.01522186677902937
0.1077120304107666,0.03,0.07,0.389,0.8390000000000001,-0.13321766257286072
0.11269831657409668,0.18,0.08,0.633,0.8390000000000001,-0.13030754029750824
0.09275174140930176,0.07,0.05,0.57,0.8390000000000001,-0.14279784262180328
0.1022341251373291,0.11,0.05,0.65,0.838,-0.16857275366783142
0.09773826599121094,0.04,0.03,0.648,0.8370000000000001,-0.1393042355775833
0.1077115535736084,0.31,0.06,0.625,0.838,-0.23828226327896118
0.09275150299072266,0.13,0.04,0.575,0.838,-0.01522186677902937
0.10372257232666016,0.1,0.04,0.376,0.838,-0.24583908915519714
0.09674072265625,0.03,0.03,0.5920000000000001,0.838,-0.2305346578359604
0.09773874282836914,0.12,0.05,0.6,0.838,-0.2707643508911133
0.09973335266113281,0.03,0.03,0.595,0.838,-0.23870518803596497
0.10471940040588379,0.37,0.1,0.804,0.8370000000000001,-0.36548638343811035
0.10622429847717285,0.17,0.07,0.695,0.838,-0.01522186677902937
0.11469197273254395,0.15,0.07,0.514,0.838,-0.29663488268852234
0.10771059989929199,0.08,0.05,0.71,0.8370000000000001,-0.31161248683929443
0.10772562026977539,0.16,0.08,0.659,0.8370000000000001,-0.3162267208099365
0.10322928428649902,0.09,0.06,0.6579999999999999,0.838,-0.2916114926338196
0.10571694374084473,0.5,0.05,0.643,0.8370000000000001,-0.32630297541618347
0.09724831581115723,0.04,0.03,0.5670000000000001,0.8370000000000001,-0.4034842550754547
0.09474754333496094,0.11,0.05,0.602,0.8370000000000001,-0.01522186677902937
0.09924077987670898,0.09,0.04,0.4,0.838,-0.3366684317588806
0.09724640846252441,0.03,0.03,0.5870000000000001,0.8370000000000001,-0.3258436918258667
0.09773826599121094,0.12,0.05,0.633,0.8370000000000001,-0.3230345845222473
