time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem,train_loss
1.715944528579712,0.91,0.07,0.34600000000000003,0.812,-0.012073715217411518
0.118682861328125,0.79,0.13,0.67,0.812,-0.016092026606202126
0.12366890907287598,0.51,0.12,0.688,0.812,-0.023367546498775482
0.13065028190612793,0.33,0.09,0.79,0.812,-0.005348834674805403
0.11768484115600586,0.39,0.09,0.659,0.812,-0.026159783825278282
0.1186821460723877,0.49,0.11,0.652,0.812,-0.0241592675447464
0.12267184257507324,0.5,0.11,0.636,0.812,-0.02767571434378624
0.1296536922454834,0.44,0.09,0.698,0.812,-0.03679975867271423
0.11320328712463379,0.51,0.11,0.716,0.813,-0.032703153789043427
0.11519861221313477,0.51,0.11,0.76,0.813,-0.04281283915042877
0.12067770957946777,0.5,0.12,0.68,0.813,-0.03673028200864792
0.11269903182983398,0.51,0.11,0.636,0.813,-0.0551086887717247
0.12765908241271973,0.5,0.11,0.667,0.813,-0.035207562148571014
0.1216740608215332,0.43,0.12,0.773,0.813,-0.04236606881022453
0.126662015914917,0.53,0.15,0.773,0.813,-0.028518356382846832
0.13164710998535156,0.46,0.13,0.774,0.813,-0.05012712627649307
0.11070394515991211,0.43,0.09,0.636,0.813,-0.04934621974825859
0.12267041206359863,0.12,0.06,0.429,0.815,-0.046596888452768326
0.13663554191589355,0.57,0.15,0.774,0.815,-0.049765169620513916
0.12366890907287598,0.62,0.17,0.802,0.815,-0.040714241564273834
0.12267231941223145,0.59,0.16,0.735,0.815,-0.05338127911090851
0.12417721748352051,0.61,0.14,0.784,0.8140000000000001,-0.04673213139176369
0.13814091682434082,0.39,0.12,0.885,0.8140000000000001,-0.05170494318008423
0.12466692924499512,0.43,0.12,0.7709999999999999,0.8140000000000001,-0.056648947298526764
0.13164758682250977,0.57,0.15,0.9129999999999999,0.8140000000000001,-0.07216975092887878
0.12865495681762695,0.6,0.16,0.924,0.8140000000000001,-0.06527642905712128
0.15159344673156738,0.4,0.12,1.0,0.8140000000000001,-0.06000964716076851
0.12366890907287598,0.27,0.09,0.9229999999999999,0.8140000000000001,-0.06601502001285553
0.12366843223571777,0.59,0.16,0.74,0.8140000000000001,-0.07216771692037582
0.1296529769897461,0.6,0.16,0.75,0.815,-0.020932689309120178
0.13264751434326172,0.58,0.16,0.7809999999999999,0.8140000000000001,-0.06384201347827911
0.13713884353637695,0.59,0.11,0.877,0.8140000000000001,-0.07976223528385162
0.14347124099731445,0.27,0.1,0.99,0.8140000000000001,-0.0795350894331932
0.1351463794708252,0.36,0.09,0.762,0.8140000000000001,-0.0204158928245306
0.13164782524108887,0.16,0.07,0.6459999999999999,0.815,-0.08320166170597076
0.13364171981811523,0.52,0.13,0.752,0.815,-0.11873343586921692
0.12366938591003418,0.62,0.17,0.792,0.815,-0.08071393519639969
