comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,39.967376470565796,0.01,0.02,0.359,0.6970000000000001
TRAIN,32.289283752441406,0.47,0.11,0.6459999999999999,0.809
POST,1.1634082794189453,0.04,0.03,0.309,0.8059999999999999
