comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,20.919215440750122,0.2,0.26,0.467,0.7759999999999999
TRAIN,48.59844207763672,0.59,0.41,0.561,0.888
POST,0.9400310516357422,0.08,0.03,0.41200000000000003,0.89
