time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem,train_loss
3.1906046867370605,0.86,0.44,0.354,0.882,-0.19945742189884186
0.18949317932128906,0.09,0.59,0.5579999999999999,0.882,-0.15361948311328888
0.17603540420532227,0.36,0.66,0.519,0.882,-0.08053143322467804
0.18252277374267578,0.21,0.16,0.621,0.882,-0.16458888351917267
0.20247602462768555,0.11,0.69,0.84,0.879,-0.17270967364311218
0.17504358291625977,0.45,0.32,0.6759999999999999,0.879,-0.18169519305229187
0.19946742057800293,0.41,0.29,0.6629999999999999,0.88,-0.17166589200496674
0.18600940704345703,0.57,0.4,0.591,0.88,-0.20081977546215057
0.2209181785583496,0.74,0.5,0.672,0.88,-0.21278536319732666
0.18451857566833496,0.75,0.53,0.647,0.88,-0.2285490483045578
0.18450665473937988,0.35,0.7,0.562,0.8809999999999999,-0.20052050054073334
0.2263951301574707,0.23,0.66,0.7659999999999999,0.8809999999999999,-0.1987857073545456
0.19997119903564453,0.22,0.66,0.6890000000000001,0.8809999999999999,-0.18028324842453003
0.15957283973693848,0.29,0.22,0.539,0.8809999999999999,-0.22944462299346924
0.15858745574951172,0.47,0.35,0.5489999999999999,0.8809999999999999,-0.2440871149301529
1.4471769332885742,0.96,0.4,0.434,0.882,-0.2383383959531784
0.2533242702484131,0.05,0.65,0.882,0.935,-0.252076119184494
0.20844221115112305,0.59,0.41,0.7929999999999999,0.9259999999999999,-0.28601139783859253
0.21045351028442383,0.47,0.28,0.789,0.919,-0.2516399919986725
0.1934986114501953,0.51,0.37,0.7190000000000001,0.91,-0.2937399744987488
0.204451322555542,0.4,0.27,0.764,0.903,-0.2563505172729492
0.2129380702972412,0.39,0.25,0.733,0.895,-0.2718673646450043
0.21692895889282227,0.19,0.66,0.762,0.892,-0.26269853115081787
0.18550515174865723,0.19,0.15,0.821,0.89,-0.23358653485774994
0.19249939918518066,0.05,0.67,0.777,0.889,-0.2683347165584564
0.18950843811035156,0.23,0.71,0.752,0.888,-0.2737811803817749
0.2069542407989502,0.49,0.34,0.807,0.888,-0.29161491990089417
0.20046377182006836,0.31,0.23,0.708,0.888,-0.23747208714485168
0.19749116897583008,0.53,0.38,0.6779999999999999,0.889,-0.32202965021133423
0.17852234840393066,0.65,0.56,0.529,0.894,-0.3079390227794647
0.17154192924499512,0.47,0.37,0.617,0.8959999999999999,-0.3166367709636688
0.12517452239990234,0.79,0.6,0.614,0.8959999999999999,-0.3588535189628601
0.20198345184326172,0.52,0.37,0.632,0.898,-0.29745998978614807
0.19248580932617188,0.51,0.32,0.6859999999999999,0.898,-0.38184285163879395
0.19651389122009277,0.64,0.45,0.662,0.898,-0.36396852135658264
0.18751263618469238,0.72,0.51,0.71,0.897,-0.2562839388847351
0.18550419807434082,0.52,0.59,0.764,0.897,-0.3833622932434082
0.1880030632019043,0.37,0.62,0.775,0.897,-0.37649622559547424
0.18650078773498535,0.41,0.3,0.8170000000000001,0.8959999999999999,-0.3295355439186096
0.18502593040466309,0.4,0.28,0.7340000000000001,0.8959999999999999,-0.3222663402557373
0.18600916862487793,0.24,0.17,0.659,0.897,-0.4003395140171051
0.19102239608764648,0.49,0.35,0.6779999999999999,0.897,-0.3797721266746521
0.1920161247253418,0.69,0.48,0.731,0.8959999999999999,-0.36294424533843994
0.18401384353637695,0.5,0.56,0.6940000000000001,0.887,-0.3616187572479248
0.18550419807434082,0.41,0.62,0.698,0.8859999999999999,-0.3766322433948517
0.18452072143554688,0.47,0.34,0.745,0.8859999999999999,-0.3712731897830963
0.19448065757751465,0.4,0.27,0.745,0.884,-0.4139174520969391
0.12566399574279785,0.8,0.56,0.75,0.884,-0.2929297983646393
0.19547820091247559,0.12,0.71,0.6629999999999999,0.88,-0.38834184408187866
0.18949317932128906,0.29,0.21,0.6859999999999999,0.88,-0.33552032709121704
0.2099454402923584,0.18,0.68,0.6920000000000001,0.88,-0.36476099491119385
0.18452000617980957,0.19,0.7,0.6890000000000001,0.88,-0.4270777702331543
0.18550491333007812,0.36,0.26,0.72,0.879,-0.41764384508132935
0.1855013370513916,0.34,0.24,0.675,0.879,-0.4037882089614868
0.18700742721557617,0.43,0.3,0.7140000000000001,0.879,-0.44237086176872253
0.2014608383178711,0.3,0.2,0.6729999999999999,0.879,-0.36778438091278076
0.1885082721710205,0.19,0.14,0.625,0.878,-0.4232659935951233
0.19846868515014648,0.04,0.59,0.856,0.8740000000000001,-0.41951799392700195
0.2044534683227539,0.86,0.59,0.7070000000000001,0.875,-0.4077490270137787
0.1904890537261963,0.43,0.7,0.731,0.875,-0.4399595558643341
0.18203449249267578,0.33,0.23,0.6729999999999999,0.875,-0.43958568572998047
0.18350958824157715,0.5,0.37,0.757,0.875,-0.430691659450531
0.18601131439208984,0.61,0.44,0.706,0.875,-0.44294846057891846
0.12617158889770508,0.82,0.55,0.716,0.875,-0.4087420403957367
0.1929924488067627,0.06,0.7,0.62,0.879,-0.4613964855670929
0.20097017288208008,0.37,0.7,0.72,0.879,-0.4904574453830719
0.1909949779510498,0.38,0.28,0.725,0.879,-0.4272988438606262
0.19150280952453613,0.52,0.36,0.737,0.879,-0.4156744182109833
0.19398951530456543,0.75,0.51,0.773,0.878,-0.46026310324668884
0.19600558280944824,0.83,0.57,0.787,0.878,-0.40751519799232483
0.19449400901794434,0.77,0.56,0.7440000000000001,0.878,-0.4499005079269409
0.18051671981811523,0.41,0.65,0.7040000000000001,0.877,-0.43383079767227173
0.18151497840881348,0.37,0.27,0.706,0.877,-0.4168597161769867
0.19148874282836914,0.48,0.35,0.742,0.877,-0.3888521194458008
0.2009742259979248,0.61,0.44,0.7140000000000001,0.877,-0.4621853232383728
0.18849658966064453,0.59,0.59,0.757,0.877,-0.3761920630931854
0.18751215934753418,0.7,0.5,0.685,0.8759999999999999,-0.4667808711528778
0.19248604774475098,0.49,0.59,0.737,0.878,-0.47950178384780884
0.19498538970947266,0.35,0.7,0.7040000000000001,0.878,-0.4767478406429291
0.12566471099853516,0.99,0.38,0.75,0.878,-0.42327404022216797
