comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,8.93512511253357,0.0,0.13,0.3,0.875
TRAIN,17.182090044021606,0.1,0.06,0.708,0.965
POST,1.4870264530181885,0.0,0.01,0.315,0.96
