time,val_gpu_util,val_cpu_util,val_gpu_mem,val_main_mem,val_loss
0.10622215270996094,0.04,0.02,0.703,0.9640000000000001,0.6301089525222778
0.09474611282348633,0.04,0.03,0.828,0.9640000000000001,0.6397154927253723
0.21043848991394043,0.43,0.24,0.6940000000000001,0.965,0.619451642036438
0.10372281074523926,0.1,0.02,0.607,0.96,0.19133050739765167
0.10172748565673828,0.03,0.02,0.615,0.96,0.1891593188047409
0.0857701301574707,0.04,0.02,0.536,0.96,0.20150776207447052
0.10073018074035645,0.11,0.06,0.5,0.956,0.051304686814546585
0.08975958824157715,0.03,0.02,0.632,0.956,0.05389828234910965
0.09474682807922363,0.03,0.02,0.6609999999999999,0.956,0.054708898067474365
0.10172843933105469,0.11,0.02,0.737,0.956,0.023429999127984047
0.09574341773986816,0.03,0.02,0.9079999999999999,0.955,0.022990046069025993
0.09175372123718262,0.04,0.02,0.625,0.955,0.022902658209204674
0.08676719665527344,0.11,0.06,0.696,0.953,0.012931414879858494
0.09973335266113281,0.05,0.02,0.607,0.953,0.0133097218349576
0.13714289665222168,0.05,0.02,0.889,0.9540000000000001,0.012844149954617023
