time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem,train_loss
1.6351451873779297,0.98,0.05,0.174,0.865,-0.0051346938125789165
0.0962519645690918,0.33,0.03,0.34700000000000003,0.865,-0.025059092789888382
0.08727073669433594,0.58,0.13,0.583,0.865,-0.00797473918646574
0.09625029563903809,0.58,0.13,0.583,0.865,-0.033234529197216034
0.0967404842376709,0.71,0.12,0.528,0.865,-0.027526145800948143
0.08676838874816895,0.6,0.12,0.5,0.865,-0.03126397728919983
0.10073065757751465,0.48,0.1,0.5,0.865,-0.037165604531764984
0.08976030349731445,0.54,0.12,0.556,0.865,-0.04687367007136345
0.08876299858093262,0.64,0.15,0.542,0.865,-0.04488912224769592
0.09325838088989258,0.64,0.12,0.589,0.865,-0.05036035552620888
0.08876180648803711,0.64,0.12,0.597,0.865,-0.04067321866750717
0.09873557090759277,0.56,0.11,0.5489999999999999,0.865,-0.03267696127295494
0.08776521682739258,0.48,0.1,0.514,0.865,-0.042389072477817535
0.09525179862976074,0.47,0.1,0.512,0.865,-0.0400187149643898
0.09624791145324707,0.48,0.1,0.531,0.865,-0.05374090373516083
0.0942535400390625,0.59,0.14,0.486,0.865,-0.055470991879701614
0.10073137283325195,0.66,0.13,0.639,0.865,-0.09057356417179108
0.08976030349731445,0.06,0.03,0.28300000000000003,0.868,-0.06983640044927597
0.11220884323120117,0.54,0.14,0.76,0.87,-0.04140637069940567
0.1102135181427002,0.6,0.14,0.767,0.87,-0.060077451169490814
0.10172891616821289,0.57,0.13,0.764,0.87,-0.08987699449062347
0.08477306365966797,0.54,0.12,0.525,0.87,-0.07540346682071686
0.08178067207336426,0.57,0.12,0.569,0.87,-0.10091161727905273
0.08926582336425781,0.53,0.11,0.662,0.871,-0.08560177683830261
0.09924149513244629,0.49,0.1,0.575,0.87,-0.10739298909902573
0.09374475479125977,0.58,0.13,0.711,0.87,-0.06995586305856705
0.14261841773986816,0.63,0.16,0.593,0.87,-0.13330887258052826
0.11271047592163086,0.46,0.1,0.716,0.87,-0.06883223354816437
0.09624791145324707,0.48,0.1,0.528,0.87,-0.11268547922372818
0.09574389457702637,0.48,0.1,0.5,0.87,-0.07324632257223129
0.08876299858093262,0.48,0.1,0.542,0.87,-0.09799082577228546
0.08776593208312988,0.62,0.15,0.514,0.87,-0.0959964469075203
0.09873604774475098,0.63,0.12,0.5479999999999999,0.87,-0.13084663450717926
0.0967416763305664,0.63,0.12,0.562,0.87,-0.1347167044878006
0.10223531723022461,0.07,0.13,0.45799999999999996,0.87,-0.1513988971710205
0.10323309898376465,0.57,0.13,0.753,0.87,-0.14573363959789276
0.09474706649780273,0.55,0.13,0.58,0.87,-0.11638819426298141
0.08477377891540527,0.57,0.12,0.578,0.87,-0.14472880959510803
0.09075784683227539,0.49,0.1,0.716,0.87,-0.16229794919490814
0.08477354049682617,0.55,0.12,0.583,0.87,-0.030884141102433205
0.08876347541809082,0.66,0.14,0.528,0.871,-0.20373477041721344
0.08676791191101074,0.66,0.12,0.514,0.87,-0.17640626430511475
0.09574270248413086,0.62,0.12,0.528,0.87,-0.17715920507907867
0.09574437141418457,0.57,0.11,0.55,0.87,-0.12352703511714935
0.1077122688293457,0.48,0.1,0.674,0.87,-0.15462632477283478
0.09175276756286621,0.55,0.13,0.636,0.87,-0.18487539887428284
0.08727192878723145,0.49,0.11,0.528,0.87,-0.24371835589408875
0.09525251388549805,0.49,0.11,0.486,0.87,-0.15547852218151093
0.10571622848510742,0.5,0.11,0.7559999999999999,0.871,-0.17406640946865082
0.09674191474914551,0.59,0.14,0.45799999999999996,0.871,-0.13169308006763458
0.09574389457702637,0.62,0.12,0.47200000000000003,0.871,-0.16310615837574005
0.09773874282836914,0.18,0.07,0.45,0.873,-0.19800567626953125
0.09773826599121094,0.7,0.14,0.528,0.873,-0.27583402395248413
0.09525251388549805,0.7,0.12,0.556,0.872,-0.19571152329444885
0.10650753974914551,0.63,0.12,0.607,0.872,-0.21097511053085327
0.0962529182434082,0.54,0.13,0.75,0.872,-0.2816777229309082
0.10671496391296387,0.58,0.13,0.773,0.872,-0.22730819880962372
0.10123777389526367,0.58,0.13,0.784,0.873,-0.23577800393104553
0.09474706649780273,0.52,0.13,0.528,0.872,-0.22535811364650726
0.09873533248901367,0.59,0.12,0.486,0.872,-0.2659887671470642
0.09773612022399902,0.49,0.1,0.5,0.872,-0.27526137232780457
0.09275150299072266,0.56,0.13,0.514,0.872,-0.25505319237709045
0.11422300338745117,0.6,0.14,0.8270000000000001,0.872,-0.23895573616027832
0.10023760795593262,0.47,0.1,0.703,0.872,-0.29380863904953003
0.08827066421508789,0.58,0.13,0.528,0.872,-0.2627706527709961
0.10323047637939453,0.63,0.15,0.662,0.872,-0.34590980410575867
0.09075236320495605,0.61,0.14,0.637,0.872,-0.08318405598402023
0.08975958824157715,0.61,0.12,0.528,0.872,-0.38625970482826233
0.09773826599121094,0.03,0.02,0.423,0.873,-0.23377658426761627
0.08676767349243164,0.5,0.1,0.5,0.873,-0.23864848911762238
0.08676815032958984,0.5,0.1,0.484,0.873,-0.22816994786262512
0.09075713157653809,0.52,0.11,0.5,0.873,-0.30423104763031006
