comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,34.73933553695679,0.03,0.02,0.217,0.764
TRAIN,28.93049168586731,0.6,0.14,0.575,0.8690000000000001
POST,1.049208164215088,0.05,0.03,0.23800000000000002,0.872
