time,val_gpu_util,val_cpu_util,val_gpu_mem,val_main_mem,val_loss
0.0857701301574707,0.55,0.14,0.6729999999999999,0.8759999999999999,-0.09901343286037445
0.08029317855834961,0.05,0.06,0.7859999999999999,0.877,-0.09901343286037445
0.07978677749633789,0.07,0.04,0.736,0.877,-0.02444719895720482
0.08029580116271973,0.16,0.07,0.7979999999999999,0.877,-0.13052639365196228
0.08328413963317871,0.13,0.05,0.721,0.877,-0.11971472948789597
0.08178162574768066,0.07,0.04,0.652,0.877,-0.1025218591094017
0.09275245666503906,0.14,0.06,0.7659999999999999,0.877,-0.1581801474094391
0.08178067207336426,0.06,0.04,0.62,0.878,-0.1581801474094391
0.08377552032470703,0.12,0.05,0.602,0.878,-0.1376626193523407
0.08078312873840332,0.14,0.06,0.68,0.878,-0.1264510452747345
0.08377623558044434,0.05,0.03,0.73,0.878,-0.11971472948789597
0.09226059913635254,0.12,0.05,0.649,0.878,-0.1385723054409027
0.0747990608215332,0.63,0.09,0.818,0.879,-0.3990728259086609
0.08228898048400879,0.05,0.03,0.7929999999999999,0.878,-0.4108887016773224
0.08178210258483887,0.15,0.06,0.711,0.878,-0.46040043234825134
0.07679462432861328,0.06,0.04,0.6809999999999999,0.878,-0.46040043234825134
0.07978630065917969,0.15,0.06,0.669,0.879,-0.43514686822891235
0.06881499290466309,0.12,0.05,0.635,0.878,-0.4436992108821869
0.07779502868652344,0.04,0.03,0.527,0.878,-0.3950188159942627
0.07480001449584961,0.12,0.05,0.519,0.878,-0.4436992108821869
0.07729935646057129,0.12,0.04,0.509,0.878,-0.423806756734848
0.08377528190612793,0.12,0.05,0.5,0.879,-0.41555532813072205
0.07579731941223145,0.04,0.02,0.5770000000000001,0.878,-0.440549373626709
0.07679462432861328,0.17,0.05,0.51,0.878,-0.423806756734848
0.07579731941223145,0.59,0.09,0.765,0.879,-0.665760338306427
0.07479977607727051,0.05,0.03,0.753,0.878,-0.6567597985267639
0.0857694149017334,0.16,0.07,0.6859999999999999,0.878,-0.7179424166679382
0.0857689380645752,0.15,0.06,0.653,0.878,-0.6607584953308105
0.08776545524597168,0.06,0.04,0.711,0.879,-0.7553574442863464
0.07380270957946777,0.16,0.06,0.6779999999999999,0.878,-0.6538752317428589
0.08328461647033691,0.06,0.04,0.669,0.878,-0.647544801235199
0.08078455924987793,0.15,0.06,0.617,0.878,-0.6895509362220764
0.07480335235595703,0.06,0.04,0.71,0.879,-0.6895509362220764
0.0718076229095459,0.14,0.06,0.75,0.878,-0.647544801235199
0.08280062675476074,0.13,0.06,0.748,0.878,-0.5714357495307922
0.0743105411529541,0.06,0.04,0.698,0.878,-0.7553574442863464
0.0773017406463623,0.63,0.07,0.725,0.879,-0.82303386926651
0.07579660415649414,0.06,0.03,0.774,0.877,-0.82303386926651
0.06981301307678223,0.15,0.06,0.61,0.877,-0.6688318848609924
0.08078265190124512,0.13,0.04,0.531,0.877,-0.8238151669502258
0.08277750015258789,0.1,0.05,0.688,0.877,-0.7839316725730896
0.07380223274230957,0.1,0.05,0.6579999999999999,0.877,-0.7801793813705444
0.07978439331054688,0.15,0.06,0.6609999999999999,0.877,-0.6586074829101562
0.08178067207336426,0.1,0.05,0.5770000000000001,0.877,-0.8238151669502258
0.08577084541320801,0.02,0.02,0.795,0.872,-0.7801793813705444
0.0743093490600586,0.1,0.05,0.866,0.87,-0.7725091576576233
0.07380223274230957,0.1,0.04,0.652,0.868,-0.7610382437705994
0.07480025291442871,0.02,0.02,0.6609999999999999,0.866,-0.7512322068214417
0.07729768753051758,0.6,0.12,0.475,0.858,-0.8492050170898438
0.0718073844909668,0.01,0.01,0.515,0.858,-0.8165457248687744
0.07878875732421875,0.11,0.04,0.486,0.858,-0.7981154322624207
0.07779145240783691,0.08,0.05,0.531,0.857,-0.8165457248687744
0.07530379295349121,0.1,0.05,0.552,0.857,-0.7368974685668945
0.07387280464172363,0.1,0.05,0.47700000000000004,0.857,-0.8029431104660034
0.07192540168762207,0.02,0.02,0.48100000000000004,0.857,-0.8214088082313538
0.08032727241516113,0.1,0.05,0.479,0.858,-0.8492050170898438
0.07380175590515137,0.1,0.05,0.583,0.858,-0.7874023914337158
0.07630252838134766,0.1,0.05,0.625,0.857,-0.7793418169021606
0.07131552696228027,0.11,0.05,0.5,0.857,-0.8214088082313538
0.07630276679992676,0.09,0.04,0.536,0.857,-0.8149457573890686
