time,val_gpu_util,val_cpu_util,val_gpu_mem,val_main_mem,val_loss
0.10323119163513184,0.04,0.03,0.6609999999999999,0.873,-0.3109913766384125
0.10172605514526367,0.22,0.15,0.43799999999999994,0.873,-0.30517080426216125
0.10671472549438477,0.04,0.23,0.429,0.8740000000000001,-0.3074054718017578
0.09475946426391602,0.06,0.04,0.434,0.873,-0.3738138973712921
0.6118974685668945,0.95,0.61,0.391,0.8740000000000001,-0.299007773399353
0.11070370674133301,0.49,0.28,0.7190000000000001,0.8759999999999999,-0.30449843406677246
0.10272550582885742,0.04,0.3,0.485,0.877,-0.3750357925891876
0.09724664688110352,0.04,0.03,0.5,0.877,-0.3624099791049957
0.10272455215454102,0.18,0.13,0.475,0.877,-0.3155769109725952
0.09075760841369629,0.04,0.03,0.461,0.877,-0.34192389249801636
0.12268567085266113,0.29,0.18,0.778,0.8759999999999999,-0.48741090297698975
0.13164734840393066,0.03,0.3,0.578,0.8759999999999999,-0.45439377427101135
0.10073041915893555,0.02,0.02,0.45,0.8759999999999999,-0.4652795195579529
0.1241750717163086,0.04,0.04,0.498,0.8759999999999999,-0.5479835271835327
0.09973406791687012,0.13,0.09,0.455,0.875,-0.509779691696167
0.10372328758239746,0.56,0.26,0.643,0.8740000000000001,-0.47240564227104187
0.09824395179748535,0.02,0.02,0.47100000000000003,0.8740000000000001,-0.530816912651062
0.0967409610748291,0.23,0.17,0.444,0.8740000000000001,-0.5040951371192932
0.09824347496032715,0.05,0.31,0.467,0.8740000000000001,-0.47668614983558655
0.12616872787475586,0.07,0.05,0.46399999999999997,0.8740000000000001,-0.6125761866569519
0.08776497840881348,0.1,0.08,0.625,0.8759999999999999,-0.5234659314155579
0.1077108383178711,0.02,0.32,0.44799999999999995,0.8759999999999999,-0.5382017493247986
0.10870981216430664,0.04,0.03,0.49700000000000005,0.875,-0.5543954968452454
0.10024070739746094,0.05,0.04,0.574,0.8740000000000001,-0.5282109379768372
0.10671448707580566,0.05,0.04,0.579,0.8740000000000001,-0.5653689503669739
