time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem,train_loss
5.292386770248413,0.87,0.61,0.271,0.914,-0.014257105998694897
0.23886752128601074,0.46,0.34,0.52,0.9079999999999999,-0.02154945768415928
0.22041010856628418,0.62,0.45,0.32299999999999995,0.9079999999999999,-0.028976697474718094
0.22041010856628418,0.97,0.73,0.307,0.9079999999999999,-0.03224244341254234
0.22838830947875977,0.4,0.3,0.306,0.9079999999999999,-0.0366465300321579
0.22140836715698242,0.72,0.52,0.325,0.9079999999999999,-0.038667723536491394
0.22240543365478516,0.22,0.69,0.35,0.91,-0.044671230018138885
0.23237824440002441,0.51,0.38,0.34,0.91,-0.04543222114443779
3.459258794784546,0.82,0.58,0.135,0.9109999999999999,-0.04745166376233101
0.24135494232177734,0.39,0.67,0.34600000000000003,0.915,-0.04858491197228432
0.22789669036865234,0.62,0.46,0.386,0.915,-0.05550713464617729
0.22838830947875977,0.79,0.58,0.319,0.915,-0.057296622544527054
0.22539854049682617,0.18,0.71,0.311,0.914,-0.061187587678432465
0.22439908981323242,0.61,0.45,0.341,0.914,-0.06514110416173935
0.22041106224060059,0.85,0.62,0.37200000000000005,0.914,-0.06640060991048813
0.22889328002929688,0.35,0.65,0.414,0.914,-0.0688970685005188
0.22889351844787598,0.63,0.45,0.35700000000000004,0.914,-0.06687680631875992
0.1795194149017334,0.45,0.3,0.382,0.9129999999999999,-0.07179517298936844
0.22590160369873047,0.28,0.7,0.38799999999999996,0.9129999999999999,-0.07359883934259415
0.22838807106018066,0.39,0.29,0.35600000000000004,0.9129999999999999,-0.08094718307256699
0.23288297653198242,0.86,0.62,0.384,0.9129999999999999,-0.07759357988834381
0.2204115390777588,0.19,0.69,0.35,0.9129999999999999,-0.08608949184417725
0.22140741348266602,0.56,0.41,0.361,0.912,-0.08888842165470123
0.2293848991394043,0.96,0.69,0.354,0.912,-0.08936817198991776
0.2259047031402588,0.18,0.69,0.36,0.912,-0.09392713755369186
0.2214069366455078,0.38,0.29,0.354,0.912,-0.09390809386968613
0.18550419807434082,0.37,0.25,0.409,0.9109999999999999,-0.09104931354522705
0.23038482666015625,0.99,0.69,0.382,0.914,-0.09343421459197998
0.229386568069458,0.21,0.68,0.341,0.914,-0.09767487645149231
0.22140836715698242,0.52,0.38,0.332,0.9129999999999999,-0.10540574043989182
0.22091412544250488,0.79,0.56,0.324,0.9129999999999999,-0.10659970343112946
0.2234032154083252,0.16,0.71,0.354,0.912,-0.1013079509139061
0.22690129280090332,0.46,0.34,0.395,0.912,-0.10895387083292007
0.2288954257965088,0.91,0.66,0.32899999999999996,0.912,-0.11202693730592728
0.22041058540344238,0.99,0.7,0.418,0.914,-0.11567304283380508
0.16655397415161133,0.73,0.52,0.34600000000000003,0.914,-0.12257882952690125
0.23937439918518066,0.49,0.35,0.342,0.9159999999999999,-0.12056487798690796
0.22439885139465332,0.58,0.43,0.27699999999999997,0.915,-0.11630794405937195
0.2263956069946289,0.74,0.57,0.324,0.915,-0.12563471496105194
0.22739148139953613,0.25,0.68,0.395,0.915,-0.12098577618598938
0.22439932823181152,0.75,0.55,0.385,0.915,-0.1290392130613327
0.23437285423278809,0.23,0.7,0.294,0.915,-0.12416284531354904
0.226393461227417,0.73,0.53,0.319,0.915,-0.11819029599428177
0.21442604064941406,0.99,0.74,0.326,0.914,-0.13007700443267822
0.1830158233642578,0.85,0.6,0.312,0.914,-0.12552861869335175
